Year,Date,Disaster_Type,Disaster_Subtype,Region,Sub_Region,Location,Latitude,Longitude,Deaths,People_Affected,Event_Description,Disaster_ID,Source
1982,1982-03-15,Flood,,Mbeya,,Mbeya region,-8.228635,33.352816,,,,1982-0078,GDIS (PEND) + EM-DAT
1989,1989-04-03,Flood,,Arusha,Meru,Tangazo,-3.338667,36.901636,,,,1989-0053,GDIS (PEND) + EM-DAT
1989,1989-04-03,Flood,,Morogoro,,Mogoro,-7.92279,36.988791,,,,1989-0053,GDIS (PEND) + EM-DAT
1989,1989-04-03,Flood,,Mtwara,,Kitunguli,-10.778478,39.117243,,,,1989-0053,GDIS (PEND) + EM-DAT
1990,1990-04-02,Flood,,Kilimanjaro,Moshi Urban,Moshi,-3.349766,37.341978,,,,1990-0018,GDIS (PEND) + EM-DAT
1990,1990-04-02,Flood,,Kilimanjaro,Rombo,Rombo,-3.095542,37.490726,,,,1990-0018,GDIS (PEND) + EM-DAT
1990,1990-04-02,Flood,,Lindi,,Lindi,-9.480658,38.406946,,,,1990-0016,GDIS (PEND) + EM-DAT
1990,1990-04-02,Flood,,Mtwara,Masasi,Masasi,-10.804737,38.895292,,,,1990-0016,GDIS (PEND) + EM-DAT
1990,1990-04-02,Flood,,Rukwa,,Rukwa,-7.951836,31.356873,,,,1990-0018,GDIS (PEND) + EM-DAT
1993,1993-03-15,Flood,,Tanga,Korogwe,Korogwe,-4.924641,38.310586,,,,1993-0005,GDIS (PEND) + EM-DAT
1993,1993-03-15,Flood,,Tanga,Lushoto,Lushoto,-4.550711,38.440631,,,,1993-0005,GDIS (PEND) + EM-DAT
1993,1993-03-15,Flood,,Tanga,Korogwe,Korogwe District,-4.924641,38.310586,,,,1993-0157,GDIS (PEND) + EM-DAT
1994,1994-03-15,Flood,,Lindi,Kilwa,Kilwa district,-9.105683,39.024255,,,,1994-0013,GDIS (PEND) + EM-DAT
1995,1995-03-15,Flood,,Dar Es Salaam,,Dar Es Salaam,-6.888154,39.263435,,,,1995-0109,GDIS (PEND) + EM-DAT
1995,1995-03-15,Flood,,Mbeya,,Mbeya,-8.228635,33.352816,,,,1995-0038,GDIS (PEND) + EM-DAT
1997,1997-04-01,Flood,,Lindi,Kilwa,Kilwa,-9.105683,39.024255,,,,1997-0049,GDIS (PEND) + EM-DAT
1997,1997-11-01,Flood,,Tabora,,Tabora region,-5.266293,32.820191,,,,1997-0306,GDIS (PEND) + EM-DAT
1998,1998-01-01,Flood,,Arusha,Meru,Mbuguni,-3.55803,36.902225,,,,1998-0096,GDIS (PEND) + EM-DAT
1998,1998-05-01,Flood,,Dar Es Salaam,Kinondoni,Dar Es Salam,-6.730923,39.142561,,,,1998-0112,GDIS (PEND) + EM-DAT
1998,1998-05-01,Flood,,Dar Es Salaam,Temeke,Temeke,-6.979832,39.409209,,,,1998-0112,GDIS (PEND) + EM-DAT
2000,2000-12-01,Flood,Riverine flood,Mwanza,Ilemela,Nyakato,-1.250323,31.829389,36.0,1817.0,,2000-0790,GDIS (PEND) + EM-DAT
2000,2000-12-01,Flood,Riverine flood,Mwanza,Nyamagana,Mabatini,-2.591273,32.944963,36.0,1817.0,,2000-0790,GDIS (PEND) + EM-DAT
2000,2000-12-01,Flood,Riverine flood,Pwani,Rufiji,Rufiji,-7.942592,38.67182,36.0,1817.0,,2000-0790,GDIS (PEND) + EM-DAT
2000,2000-12-01,Flood,Riverine flood,Tanzania (national),,Tanzania (national),,,36.0,1817.0,Riverine flood,,EM-DAT (CRED)
2001,2001-03-01,Flood,Flash flood,Dar Es Salaam,Kinondoni,Kigogo,-6.816139,39.249006,5.0,200.0,,2001-0109,GDIS (PEND) + EM-DAT
2001,2001-03-01,Flood,Flash flood,Dar Es Salaam,Kinondoni,Manzese,-6.797857,39.231197,5.0,200.0,,2001-0109,GDIS (PEND) + EM-DAT
2001,2001-03-01,Flood,Flash flood,Dar Es Salaam,Kinondoni,Ubungo area.,-6.787859,39.205605,5.0,200.0,,2001-0109,GDIS (PEND) + EM-DAT
2001,2001-03-01,Flood,Flash flood,Tanzania (national),,Tanzania (national),,,5.0,200.0,Flash flood,,EM-DAT (CRED)
2002,2002-04-01,Flood,Riverine flood,Geita,,Geita district,-3.300131,31.900888,9.0,1200.0,,2002-0274,GDIS (PEND) + EM-DAT
2002,2002-04-01,Flood,Riverine flood,Mbeya,Kyela,Kyela district,-9.534913,33.870428,9.0,1200.0,,2002-0274,GDIS (PEND) + EM-DAT
