city,date,status,risk_score,7d_precip_mm,drought_index,avg_temp,humidity
Simiyu,2026-03-07,DANGER: FLOOD,0.9719997644424438,140.1,0.0,18.3,87
Tabora,2026-03-17,DANGER: FLOOD,0.9422135353088379,48.7,0.0,21.5,83
Singida,2026-03-12,DANGER: FLOOD,0.92747962474823,86.4,0.0,20.8,87
Dodoma,2026-03-12,DANGER: FLOOD,0.92747962474823,86.4,0.0,20.8,87
Iringa,2026-02-25,DANGER: FLOOD,0.8608189821243286,66.6,0.07999999999999997,17.6,86
Kilimanjaro,2026-03-14,DANGER: FLOOD,0.8212128281593323,81.8,0.0,20.8,76
Songwe,2026-03-16,DANGER: FLOOD,0.7724396586418152,92.3,0.0,16.2,90
Mbeya,2026-03-16,DANGER: FLOOD,0.7724396586418152,92.3,0.0,16.2,90
Morogoro,2026-03-14,DANGER: FLOOD,0.7628421187400818,81.1,0.0,23.0,86
Manyara,2026-02-26,CAUTION: FLOOD,0.6861899495124817,124.6,0.0,18.5,84
Arusha,2026-02-26,CAUTION: FLOOD,0.6861899495124817,124.6,0.0,18.5,84
Katavi,2026-02-27,CAUTION: FLOOD,0.64836585521698,55.400000000000006,0.1022222222222222,18.7,84
Rukwa,2026-02-27,CAUTION: FLOOD,0.64836585521698,55.400000000000006,0.1022222222222222,18.7,84
Mara,2026-02-17,CAUTION: DROUGHT,0.49666666666666665,0.9,0.49666666666666665,21.3,73
Lindi,2026-02-17,CAUTION: DROUGHT,0.4951851851851851,1.3,0.4951851851851851,25.7,79
Mtwara,2026-02-17,CAUTION: DROUGHT,0.4951851851851851,1.3,0.4951851851851851,25.7,79
Shinyanga,2026-02-17,CAUTION: DROUGHT,0.49314814814814817,8.6,0.49314814814814817,22.3,70
Mwanza,2026-02-17,CAUTION: DROUGHT,0.49314814814814817,8.6,0.49314814814814817,22.3,70
Geita,2026-02-17,CAUTION: DROUGHT,0.49314814814814817,8.6,0.49314814814814817,22.3,70
Tanga,2026-02-17,CAUTION: DROUGHT,0.4925925925925926,2.0,0.4925925925925926,26.8,75
Kagera,2026-02-17,CAUTION: DROUGHT,0.4918518518518519,2.2,0.4918518518518519,20.3,72
Kigoma,2026-02-17,CAUTION: DROUGHT,0.47851851851851845,5.8,0.47851851851851845,23.0,80
Dar es Salaam,2026-02-17,CAUTION: DROUGHT,0.46370370370370373,9.8,0.46370370370370373,26.3,81
Pwani,2026-02-17,CAUTION: DROUGHT,0.46370370370370373,9.8,0.46370370370370373,26.3,81
Njombe,2026-02-24,CAUTION: FLOOD,0.4526614546775818,78.6,0.059629629629629664,19.0,94
Ruvuma,2026-02-24,CAUTION: FLOOD,0.4526614546775818,78.6,0.059629629629629664,19.0,94
Rukwa,2026-03-07,SAFE,0.39915019273757935,62.0,0.047435897435897434,17.6,91
Katavi,2026-03-07,SAFE,0.39915019273757935,62.0,0.047435897435897434,17.6,91
Mbeya,2026-03-18,SAFE,0.398433119058609,91.3,0.0,16.3,91
Songwe,2026-03-18,SAFE,0.398433119058609,91.3,0.0,16.3,91
Simiyu,2026-03-02,SAFE,0.3850680887699127,107.1,0.0,18.0,90
Lindi,2026-03-12,SAFE,0.383857399225235,133.1,0.0,26.0,85
Mtwara,2026-03-12,SAFE,0.383857399225235,133.1,0.0,26.0,85
Arusha,2026-03-19,SAFE,0.3597221076488495,66.2,0.0,19.8,81
Manyara,2026-03-19,SAFE,0.3597221076488495,66.2,0.0,19.8,81
Mara,2026-02-22,SAFE,0.3477777777777778,41.1,0.3477777777777778,22.1,74
Singida,2026-02-19,SAFE,0.34555555555555556,41.7,0.34555555555555556,21.3,71
Dodoma,2026-02-19,SAFE,0.34555555555555556,41.7,0.34555555555555556,21.3,71
Geita,2026-02-19,SAFE,0.3433333333333333,42.3,0.3433333333333333,21.2,77
Mwanza,2026-02-19,SAFE,0.3433333333333333,42.3,0.3433333333333333,21.2,77
Shinyanga,2026-02-19,SAFE,0.3433333333333333,42.3,0.3433333333333333,21.2,77
Ruvuma,2026-03-02,SAFE,0.3414258360862732,77.6,0.01384615384615386,21.0,88
Njombe,2026-03-02,SAFE,0.3414258360862732,77.6,0.01384615384615386,21.0,88
Tanga,2026-03-02,SAFE,0.34064102564102566,27.2,0.34064102564102566,27.1,77
Kagera,2026-03-05,SAFE,0.33564102564102566,22.9,0.33564102564102566,17.2,90
Kigoma,2026-02-20,SAFE,0.33555555555555555,44.4,0.33555555555555555,21.1,87
Dar es Salaam,2026-02-24,SAFE,0.33309523809523806,42.4,0.33309523809523806,25.9,80
Pwani,2026-02-24,SAFE,0.33309523809523806,42.4,0.33309523809523806,25.9,80
Iringa,2026-02-18,SAFE,0.32666666666666666,46.8,0.32666666666666666,15.6,93
Tabora,2026-02-19,SAFE,0.3255555555555556,47.1,0.3255555555555556,20.0,88
Kilimanjaro,2026-03-03,SAFE,0.31301772594451904,75.1,0.05974358974358977,21.3,73
Morogoro,2026-02-17,SAFE,0.31,51.3,0.31,20.6,93
